,Coefficient
AdultWeekday,10.740450830972586
clusters,3.3827365989715785
daysOpenLastYear,3.3386548621886707
Runs,1.8956081376212646
quad,1.3580540198414588
double,0.8939274420540531
total_chairs,0.5896647447327628
NightSkiing_ac,0.43512040953156567
LongestRun_mi,0.39157336998169523
vertical_drop,0.3786582009510399
TerrainParks,0.3070556539279617
triple,0.2945626152217971
trams,2.6645352591003757e-15
fastEight,-4.440892098500626e-16
fastSixes,-8.881784197001252e-16
SkiableTerrain_ac,-0.024192131372864856
Snow Making_ac,-0.0888521935870495
fastQuads,-0.21392794662458908
yearsOpen,-0.364632497220009
surface,-0.6498531581008549
averageSnowfall,-1.6374464900366632
projectedDaysOpen,-2.3645132298643263
summit_elev,-2.8297274460672326
Mean Absolute Error,6.44686769878445
R-square value,0.7312443670662345
